level,province_nesdc_en,type,sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Provincial,KHON KAEN,Current Market Prices,Information and communication,566.084785,625.571375,740.336057,689.280215,728.014602,743.530936,1004.140561,1172.183319,1299.304116,1249.425743,1250.088012,1014.804237,984.370594,1056.506122,1080.868576,1104.548396,1225.813246,1223.321169,1177.405402,1160.751593,1305.538353,1193.449633,1300.849276,1693.263364,2196.973026,2008.023941
Provincial,KHON KAEN,Current Market Prices,Financial and insurance activities,2830.869642,3165.793997,3079.724971,2844.660879,2131.650952,2156.028165,2247.11178,2532.66841,2670.433427,3161.422375,3599.417246,4423.407837,5066.084541,5225.067214,5613.89397,5948.170971,6470.808432,7443.046412,9036.798957,10122.93587,10761.54864,12070.40885,12608.97444,13118.7102,13947.9009,14349.82996
Provincial,KHON KAEN,Current Market Prices,Real estate activities,2246.387099,2654.524521,3119.847485,3646.960727,4250.008085,4266.861199,4022.671196,4491.86135,4612.130577,4676.539791,4547.520394,4682.273612,4931.016061,6994.000369,8250.708926,7626.313267,7813.798734,8024.718956,7068.416012,5400.197588,5919.296545,6308.768078,6989.347109,7864.910797,8777.987896,9196.000368
Provincial,KHON KAEN,Current Market Prices,"Professional, scientific and technical activities",19.954197,20.226391,29.890133,23.545916,29.307172,34.614359,29.889133,38.892347,37.46349,44.629791,50.095984,58.900106,52.184123,49.778535,55.546606,56.09592,78.056145,87.699063,62.017439,77.695848,147.759198,184.421708,189.869007,195.91977,226.379542,243.18077
Provincial,KHON KAEN,Current Market Prices,Administrative and support service activities,283.078388,662.279276,641.397521,226.55038,279.379958,312.070514,316.669064,331.550126,342.050121,353.258515,369.98309,367.495278,502.462354,507.091376,480.119822,495.648888,485.709656,554.728749,595.579315,589.349189,622.669761,669.977836,777.12644,825.338878,883.249295,561.465727
Provincial,KHON KAEN,Current Market Prices,Public administration and defence; compulsory social security,2788.648471,3454.18462,3953.542694,4409.058871,4890.190422,5476.310864,5761.623422,6384.167842,6641.773679,7317.033292,7927.531282,7428.235874,7036.830111,6502.708519,6517.199442,7492.455362,8088.818516,10632.53723,9572.814064,7640.144173,7691.331072,7808.360022,8241.7788,8633.477067,8908.293634,8754.651638
Provincial,KHON KAEN,Current Market Prices,Education,4998.531612,5396.537023,5817.447471,6140.691107,6093.954876,6324.987843,6446.415666,6573.326171,7291.01964,8381.513708,9220.932948,10979.24172,11855.46427,12704.82823,13633.79889,14556.18139,16273.90712,18214.43547,19119.3024,19487.74626,23139.67616,23790.84241,25464.92926,25140.19916,26050.6177,26902.33659
Provincial,KHON KAEN,Current Market Prices,Human health and social work activities,1234.196171,1475.5077,1550.051615,1691.726127,1653.408519,1796.179648,1658.280594,1864.961832,1833.272816,2103.34143,2357.718569,2522.939977,2828.28925,3373.424964,3774.219747,4256.176288,4721.691906,5485.787756,5892.565301,6460.874416,6803.03834,7187.024094,7698.265008,8338.620509,8746.313201,9293.893926
Provincial,KHON KAEN,Current Market Prices,"Arts, entertainment and recreation",52.181269,74.9279,76.97025,80.854739,84.56625,84.553589,102.126538,133.654227,197.23706,371.879602,399.534725,332.79941,136.641326,128.171405,122.226926,170.610793,217.275976,241.762563,244.839669,244.134522,272.419757,325.437868,374.020223,429.83285,496.286279,429.448244
Provincial,KHON KAEN,Current Market Prices,Other service activities,418.702277,441.246988,487.825189,496.782728,490.457757,517.323743,704.696276,522.765912,565.910658,722.162254,877.494738,613.139638,742.518864,1010.368511,1180.16563,869.889801,965.373658,1289.352153,1437.167348,1507.939876,1535.662298,1566.48752,1559.956471,1512.893443,1473.504249,1464.983247
